text_name,genre,pos_NOUN,pos_VERB,pos_ADJ,pos_ADP,pos_PRON,pos_NUM,pos_ADV,pos_PART,nom_verb_ratio,case_Nom,case_Acc,case_Inst,case_Dat,case_Abl,case_Gen,case_Loc,case_Voc,tense_Pres,tense_Past,tense_Fut,tense_Imp,mood_Ind,mood_Opt,mood_Imp,mood_Sub,compound_rate,mantra_rate,avg_dep_length,subordination_rate,verb_final_rate,MCI
Abhidharmakośa,Shastra,468.3776351970669,69.66086159486709,120.98991750687443,0.9165902841429882,64.16131989000917,89.82584784601283,67.82768102658112,68.7442713107241,9.381578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.68421052631578,39.473684210526315,39.473684210526315,0.0,276.3157894736842,13.157894736842104,0.0,0.0,237.3968835930339,0.0,3.2941176470588234,294.11764705882354,750.0,2.760379763869112
Abhidharmakośabhāṣya,Shastra,338.9830508474576,186.4406779661017,59.32203389830509,0.0,59.32203389830509,0.0,101.6949152542373,203.3898305084746,2.4545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.5454545454545,0.0,0.0,0.0,318.1818181818182,90.9090909090909,0.0,0.0,177.96610169491524,0.0,0.0,0.0,0.0,2.7173628954818754
Abhidhānacintāmaṇi,Shastra,718.6311787072244,33.99686870946097,82.97919928427645,0.8946544397226571,32.87855065980765,20.35338850369045,31.089241780362332,47.416685305300824,24.54605263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421.05263157894734,13.157894736842104,6.578947368421052,0.0,46.05263157894736,375.0,0.0,0.0,205.54685752628046,0.0,0.0,0.0,0.0,2.386988986184566
Abhinavacintāmaṇi,Shastra,528.0337941628264,131.3364055299539,145.16129032258067,1.5360983102918586,36.09831029185868,27.64976958525346,50.30721966205837,34.17818740399386,5.400584795321637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.15204678362574,20.46783625730994,2.923976608187134,0.0,239.76608187134502,269.00584795321635,0.0,0.0,245.77572964669739,0.0,0.0,0.0,0.0,2.8679494459421826
Acintyastava,Kavya,310.989010989011,186.8131868131868,112.08791208791209,0.0,130.76923076923077,3.2967032967032965,65.93406593406594,138.46153846153848,2.9647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.5294117647059,17.647058823529413,0.0,0.0,229.41176470588235,47.05882352941176,5.88235294117647,0.0,158.24175824175825,0.0,0.0,0.0,0.0,2.8383556693683007
Agastīyaratnaparīkṣā,Shastra,417.7631578947368,120.0657894736842,207.23684210526315,3.289473684210526,31.25,13.157894736842104,54.276315789473685,62.5,5.465753424657534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534.2465753424658,13.698630136986301,13.698630136986301,0.0,301.3698630136986,246.5753424657534,13.698630136986301,0.0,185.85526315789474,0.0,0.0,0.0,0.0,2.7364322567070656
Agnipurāṇa,Puranic,492.2874566543107,196.10187731675236,72.46203515484873,0.5978715771852207,74.37522420184145,14.348917852445295,53.09099605404759,47.351428913069476,3.2591463414634148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.8048780487805,189.6341463414634,38.41463414634146,0.0,358.5365853658536,46.951219512195124,46.34146341463415,0.0,130.93387540356332,0.0,0.0,0.0,0.0,3.1008480327634627
Aitareya-Āraṇyaka,Vedic,313.916172323252,162.69571136827773,86.55061752406885,15.851405231936205,174.9489448604493,25.867937372362153,53.389088787318876,140.03695419624623,3.536760310818888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.7740585774059,183.5026897788404,14.943215780035864,0.0,557.6808129109384,82.48655110579797,50.2092050209205,19.127316198445904,35.68997374307109,109.01487892638336,1034.5647792706334,39.82725527831094,0.0,3.1597077774844853
Aitareyabrāhmaṇa,Vedic,314.60999583657656,187.02822077005231,85.71221693246203,12.435964737613814,164.72675271075067,15.658092427999929,53.69006027913039,136.234455044078,3.0211962833914052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.9450251645374,204.3166860240031,14.421215640727837,0.0,578.9779326364693,97.36740224545103,55.845915602013164,11.420828493999226,30.121463352822985,90.74452871857068,7833.373556987052,77.74730531283883,0.0,3.2506460759631044
Aitareyopaniṣad,Vedic,324.2924528301887,208.72641509433961,40.094339622641506,5.89622641509434,221.69811320754718,5.89622641509434,38.91509433962264,107.31132075471699,2.8079096045197742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.63841807909606,525.4237288135594,79.09604519774012,0.0,542.3728813559322,5.649717514124294,28.248587570621467,22.598870056497177,18.867924528301884,0.0,419.12735849056605,71.93396226415094,0.0,3.283278020799839
